id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
49644532,Antes de diciembre,https://www.goodreads.com/book/show/49644532-antes-de-diciembre,Meses a tu lado #1,Joana Marcús,"90,838","10,991",496,767,"November 11, 2021","October 1, 2019","Romance, Love, Young Adult, Spanish Literature, Contemporary, Erotic Romance, New Adult",Penguin Random House Grupo Editorial España,9788418949135,Spanish; Castilian,,8418949139,4.44
6251543,"The Man Who Loved Books Too Much: The True Story of a Thief, a Detective, and a World of Literary Obsession",https://www.goodreads.com/book/show/6251543-the-man-who-loved-books-too-much,,Allison Hoover Bartlett,"13,083","2,258",274,767,"September 17, 2009","August 1, 2009","Nonfiction, Books About Books, True Crime, Biography, Crime, History, Mystery, Audiobook, Adult, Memoir",Riverhead Books,9781594488917,English,,1594488916,3.44
3181564,The Housekeeper and the Professor,https://www.goodreads.com/book/show/3181564-the-housekeeper-and-the-professor,,Yōko Ogawa,"69,614","10,786",180,766,"February 3, 2009","August 29, 2003","Fiction, Japan, Japanese Literature, Contemporary, Literary Fiction, Asia, Asian Literature, Adult, Novels, Mathematics",Picador,9780312427801,English,,0312427808,4.05
19427193,I Too Had a Love Story,https://www.goodreads.com/book/show/19427193-i-too-had-a-love-story,,Ravinder Singh,"41,499","2,334",212,766,"February 10, 2009","February 28, 2007","Romance, Fiction, Indian Literature, Love, Love Story, Romantic, Novels, India, Contemporary, Young Adult",Srishti Publishers,9788188575701,English,,8188575704,3.63
118252,Mahabharata,https://www.goodreads.com/book/show/118252.Mahabharata,,C. Rajagopalachari,"10,910",578,483,766,"January 1, 1951","January 1, 1951","Classics, Mythology, Religion, India, Fiction, Philosophy, Poetry, Spirituality, Epic, Hinduism",Bharatiya Vidya Bhavan,9788172763688,English,,8172763689,4.31
60897546,The High Auction,https://www.goodreads.com/book/show/60897546-the-high-auction,Wisdom Revolution #1,Misba,"6,966","1,000",180,766,"July 1, 2021","July 21, 2021","Fantasy, Science Fiction Fantasy, Post Apocalyptic, Science Fiction, Adventure, Dark, Adult, Thriller, Utopia, Fiction",Nomad's Forge,,English,,,4.58
14896701,Ancient Blood: A Novel of the Hegemony,https://www.goodreads.com/book/show/14896701-ancient-blood,The Order Saga #1,Brian McKinley,155,40,374,765,"July 15, 2013","September 11, 2011","Paranormal, Fantasy, Vampires, Thriller, Supernatural, Horror, Urban Fantasy, Adventure, Science Fiction Fantasy, American",CreateSpace,9781491007754,English,,1491007753,4.28
13323842,Predestined,https://www.goodreads.com/book/show/13323842-predestined,Existence #2,Abbi Glines,"39,704","1,620",214,765,"March 29, 2012","March 26, 2012","Paranormal, Young Adult, Romance, Fantasy, Paranormal Romance, Supernatural, Ghosts, New Adult, Demons, High School",,,English,,,4.05
13661,Tehanu,https://www.goodreads.com/book/show/13661.Tehanu,Earthsea Cycle #4,Ursula K. Le Guin,"48,147","2,942",281,765,"November 23, 2004","June 20, 1990","Fantasy, Fiction, Young Adult, Science Fiction Fantasy, High Fantasy, Dragons, Magic, Classics, Science Fiction, Adventure",Pocket Books,9781416509639,English,,1416509631,4.02
215492,Lord Edgware Dies,https://www.goodreads.com/book/show/215492.Lord_Edgware_Dies,Hercule Poirot #9,Agatha Christie,"48,401","3,124",219,765,"January 1, 1977","January 1, 1933","Mystery, Fiction, Crime, Classics, Mystery Thriller, Detective, Audiobook, Murder Mystery, British Literature, Thriller",Collins for the Crime Club,9780002314572,English,,0002314576,3.94
9597,Player Piano,https://www.goodreads.com/book/show/9597.Player_Piano,,Kurt Vonnegut Jr.,"55,053","2,674",341,764,"September 1, 2006","August 18, 1952","Fiction, Science Fiction, Classics, Dystopia, Literature, Novels, Humor, American, Science Fiction Fantasy, 20th Century",Dial Press,9780385333788,English,,0385333781,3.89
