id,title,series,author,rating_count,review_count,pages,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
2187,Middlesex,,Jeffrey Eugenides,"633,088","25,790",529,"September 16, 2002","September 4, 2002","Fiction, Historical Fiction, Contemporary, LGBT, Classics, Literary Fiction, Novels, Queer, Literature, Historical",Picador USA,9780312422158,English,"Pulitzer Prize for Fiction (2003), Stonewall Book Award Nominee for Literature (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Ambassador Book Award for Fiction (2003), Audie Award for Fiction, Unabridged (2003), Lambda Literary Award for Transgender (1), National Book Critics Circle Award Nominee for Fiction (2002), Premio San Clemente Rosalía-Abanca for Lingua estranxeira (2005)",0312422156,4.03
5907,The Hobbit,The Lord of the Rings #0,J.R.R. Tolkien,"3,800,328","67,354",366,"August 15, 2002","September 21, 1937","Fantasy, Classics, Fiction, Adventure, Young Adult, High Fantasy, Science Fiction Fantasy, Childrens, Novels, Epic Fantasy",Houghton Mifflin,,English,,,4.28
113436,Eragon,The Inheritance Cycle #1,Christopher Paolini,"1,718,557","26,753",503,"June 1, 2005","June 1, 2002","Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy, Young Adult Fantasy, Childrens, Science Fiction Fantasy",Alfred A. Knopf,9780375826696,English,"Book Sense Book of the Year Award for Children's Literature (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007), South Carolina Book Award for Young Adult Book (2006), Grand Canyon Reader Award for Teen Book (2006), Nene Award (2006), Colorado Blue Spruce Young Adult Book Award (2005), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2005), Rhode Island Teen Book Award (2005), Beehive Book Award for Young Adult Book (2005), Evergreen Teen Book Award (2006), Golden Archer Award for Middle/Junior High (2006), Soaring Eagle Book Award (2005), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2006), Iowa Teen Award (2008), Eliot Rosewater Indiana High School Book Award (2006), Literaturpreis der Jury der jungen Leser for Kinderbuch (2005), Virginia Reader's Choice for Middle (2005), Gateway Readers Award for Young Adult (2006), Oklahoma Sequoyah Award for YA (2006), Rebecca Caudill Young Readers' Book Award (2006)",0375826696,3.94
24583,The Adventures of Tom Sawyer,Adventures of Tom and Huck #1,Mark Twain,"912,102","13,244",244,"February 28, 2006","June 1, 1876","Classics, Fiction, Adventure, Historical Fiction, Young Adult, Literature, Childrens, School, Novels, American",Penguin Classics,9780143039563,English,,,3.92
99561,Looking for Alaska,,John Green,"1,537,043","73,424",221,"December 28, 2006","March 3, 2005","Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Coming Of Age, Teen, Mystery, Young Adult Contemporary, High School",Speak,9781435249158,English,"Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005), Michael L. Printz Award (2006), Rhode Island Teen Book Award Nominee (2007), Michigan Library Association Thumbs Up! Award Nominee (2006), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008), The Inky Awards for Silver Inky (2007), Lincoln Award Nominee (2009), Bronzener Lufti (2007), Green Mountain Book Award (2008), The Inky Awards Shortlist for Silver Inky (2007), Alabama Author Award for Young Adult (2006), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)",,3.97
865,The Alchemist,,Paulo Coelho,"2,915,732","114,847",197,"May 1, 1993","January 1, 1988","Fiction, Classics, Fantasy, Philosophy, Novels, Spirituality, Self Help, Literature, Adventure, Audiobook",HarperCollins,9780061122415,English,,0061122416,3.90
6310,Charlie and the Chocolate Factory,Charlie Bucket #1,Roald Dahl,"821,765","15,627",176,"June 2, 2005","January 17, 1964","Fiction, Fantasy, Childrens, Classics, Young Adult, Middle Grade, Humor, Adventure, Juvenile, Novels",Puffin Books,9780142403884,English,,0142403881,4.16
4948,The Very Hungry Caterpillar,,Eric Carle,"492,054","10,124",26,"January 1, 1994","June 3, 1969","Picture Books, Childrens, Fiction, Classics, Animals, Food, Counting, Storytime, Kids, Mathematics",Puffin Books,9780241003008,English,,0241003008,4.32
1618,The Curious Incident of the Dog in the Night-Time,,Mark Haddon,"1,444,330","54,122",226,"May 18, 2004","July 31, 2003","Fiction, Mystery, Young Adult, Contemporary, Classics, Autistic Spectrum Disorder, Novels, School, Psychology, Literature",Vintage,9781400032716,English,"Booker Prize Nominee for Longlist (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Whitbread Award for Novel and Book of the Year (2003), Guardian Children's Fiction Prize (2003), Booktrust Teenage Prize (2003), McKitterick Prize (2004), Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2003), Exclusive Books Boeke Prize (2004), ALA Alex Award (2004), Zilveren Zoen (2004), Lincoln Award Nominee (2006), Commonwealth Writers' Prize for Best First Book Overall (2004), North East Teenage Book Award Nominee (2004), Carnegie Medal Nominee (2003), Dolly Gray Children's Literature Award (2004), Premi Protagonista Jove for Categoria 14-16 anys (2005)",1400032717,3.89
7126,The Count of Monte Cristo,,Alexandre Dumas,"893,353","30,415",1276,"May 27, 2003","August 28, 1844","Classics, Fiction, Historical Fiction, Adventure, Literature, France, Historical, Novels, Romance, Classic Literature",Penguin Classics,9780140449266,English,,0140449264,4.29
1232,The Shadow of the Wind,El cementerio de los libros olvidados #1,Carlos Ruiz Zafón,"613,805","49,325",487,"January 1, 2005","May 1, 2001","Fiction, Historical Fiction, Mystery, Fantasy, Books About Books, Historical, Spain, Magical Realism, Spanish Literature, Gothic",Penguin Books,,English,"Barry Award for Best First Novel (2005), Gumshoe Award Nominee for Best European Crime Novel (2005), Borders Original Voices Award for Fiction (2004), Dilys Award Nominee (2005), Humo's Gouden Bladwijzer (2006), Prix du Meilleur Livre Étranger for Roman (2004), Prix des libraires du Québec for Lauréats hors Québec (2005), One Book One San Diego (2015), Premi Llibreter de narrativa Nominee (2002)",,4.29
4556058,The Last Olympian,Percy Jackson and the Olympians #5,Rick Riordan,"937,903","36,647",381,"May 5, 2009","May 5, 2009","Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology, Childrens, Urban Fantasy, Young Adult Fantasy",Disney-Hyperion Books,9781423101475,English,,1423101472,4.54
6900,Tuesdays with Morrie,,Mitch Albom,"986,957","37,429",210,"January 1, 2000","August 18, 1997","Nonfiction, Memoir, Biography, Classics, Inspirational, Philosophy, Self Help, Contemporary, Adult, Biography Memoir",Warner,,English,,,4.16
9717,The Unbearable Lightness of Being,,Milan Kundera,"450,111","23,558",314,"October 27, 2009","January 1, 1984","Fiction, Classics, Philosophy, Literature, Novels, Czech Literature, Romance, Contemporary, Literary Fiction, 20th Century",Harper Perennial,9780571224388,English,,0571224385,4.11
70401,On the Road,Duluoz Legend,Jack Kerouac,"402,483","19,041",307,"January 1, 1976","September 5, 1957","Fiction, Travel, Literature, Classics, Novels, American, Adventure, Modern Classics, 20th Century, The United States Of America",Penguin Books,9780140042597,English,,0140042598,3.61
100915,"The Lion, the Witch and the Wardrobe",The Chronicles of Narnia (Publication Order) #1,C.S. Lewis,"2,690,906","31,420",206,"January 1, 2005","October 16, 1950","Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Adventure, Christian, Magic, Christian Fiction",HarperCollins Publishers,,English,,,4.23
