id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
34445549,Alternatives to a Frozen Mouse,https://www.goodreads.com/book/show/34445549-alternatives-to-a-frozen-mouse,,A.J. Mouse,372,30,274,473,"February 22, 2017","Published February 22, 2017","Nonfiction, True Story, Memoir, Self Help, Adventure, Humor, Biography, Adult, Inspirational, Autobiography",InHouse Publishing,9781925530247,English,,1925530248,4.19
35965782,The Lost Continent,https://www.goodreads.com/book/show/35965782-the-lost-continent,Wings of Fire #11,Tui T. Sutherland,"14,107",693,,473,,"June 26, 2018","Fantasy, Dragons, Middle Grade, Fiction, Childrens, Young Adult, Adventure, Animals, Audiobook, Magic",,,,,,4.49
17704902,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,https://www.goodreads.com/book/show/17704902-five-days-at-memorial,,Sheri Fink,"33,420","4,064",558,473,"September 10, 2013","September 10, 2013","Nonfiction, History, Medicine, Medical, Audiobook, True Crime, Health, Science, Memoir, Journalism",Crown,9780307718969,English,"J. Anthony Lukas Book Prize (2014), PEN/John Kenneth Galbraith Award for Nonfiction (2015), Los Angeles Times Book Prize for Current Interest (2013), Ridenhour Book Prize (2014), National Book Critics Circle Award for Nonfiction (2013), PEN/E.O. Wilson Literary Science Writing Award Nominee (2014), Andrew Carnegie Medal Nominee for Nonfiction (Shortlist) (2014), Goodreads Choice Award Nominee for Nonfiction (2013)",0307718964,3.93
53063341,The Inheritance Games,https://www.goodreads.com/book/show/53063341-the-inheritance-games,The Inheritance Games #1,Jennifer Lynn Barnes,"578,763","69,590",372,473,"September 3, 2020","September 1, 2020","Mystery, Young Adult, Romance, Fiction, Fantasy, Contemporary, Mystery Thriller, Thriller, Audiobook, Teen",Penguin,,English,,,4.19
406235,Giovanni's Room,https://www.goodreads.com/book/show/406235.Giovanni_s_Room,,James Baldwin,"139,223","15,432",224,473,"April 1, 1988","January 1, 1956","Classics, Fiction, LGBT, Queer, Romance, Gay, Literary Fiction, Novels, Literature, American",Laurel,,English,,,4.31
13020,"King Henry IV, Part 1",https://www.goodreads.com/book/show/13020.King_Henry_IV_Part_1,Wars of the Roses #2,William Shakespeare,"29,756","1,500",416,472,"November 7, 2002","January 1, 1597","Plays, Classics, Drama, Fiction, Historical Fiction, Theatre, School, Poetry, Literature, Historical",The Arden Shakespeare,9781904271352,English,,1904271359,3.80
263172,Kissing Coffins,https://www.goodreads.com/book/show/263172.Kissing_Coffins,Vampire Kisses #2,Ellen Schreiber,"26,163",854,224,472,"May 1, 2007","July 26, 2005","Vampires, Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural, Fiction, Urban Fantasy, Teen",HarperTeen,9780060776244,English,,0060776242,3.88
2272813,Ninth Grade Slays,https://www.goodreads.com/book/show/2272813.Ninth_Grade_Slays,The Chronicles of Vladimir Tod #2,Heather Brewer,"25,130","1,131",278,472,"April 17, 2008","April 1, 2008","Vampires, Young Adult, Fantasy, Paranormal, Fiction, Supernatural, Horror, Urban Fantasy, Teen, Romance",Dutton Children's Books,9780525478928,English,,0525478922,4.13
68041,The Earthsea Quartet,https://www.goodreads.com/book/show/68041.The_Earthsea_Quartet,Earthsea Cycle #1-4,Ursula K. Le Guin,"11,225",769,691,472,"October 28, 1993","January 1, 1993","Fantasy, Fiction, Classics, Young Adult, Magic, High Fantasy, Dragons, Adventure, Science Fiction Fantasy, Epic Fantasy",Penguin,9780140154276,English,,0140154272,4.29
5755,The Language Instinct: How the Mind Creates Language,https://www.goodreads.com/book/show/5755.The_Language_Instinct,Language and Human Nature Tetralogy #1,Steven Pinker,"21,568","1,130",448,472,"November 7, 2000","January 1, 1994","Nonfiction, Science, Psychology, Linguistics, Language, Philosophy, Neuroscience, Anthropology, Biology, Evolution",Harper Perennial Modern Classics,9780060958336,English,,0060958332,4.01
18044158,The One,https://www.goodreads.com/book/show/18044158-the-one,Species Intervention #6609 #6,J.K. Accinni,266,48,,472,,"May 6, 2013","Science Fiction, Fantasy, Aliens, Young Adult",,,,,,4.46
6413788,Last Night I Sang to the Monster,https://www.goodreads.com/book/show/6413788-last-night-i-sang-to-the-monster,,Benjamin Alire Sáenz,"7,866","1,347",239,472,"September 1, 2009","September 1, 2009","Young Adult, Contemporary, Mental Health, Fiction, Realistic Fiction, Mental Illness, LGBT, Abuse, Coming Of Age, Dark",Cinco Puntos Press,9781933693583,English,,1933693584,4.24
56666839,A Dowry of Blood,https://www.goodreads.com/book/show/56666839-a-dowry-of-blood,A Dowry of Blood #1,S.T. Gibson,"41,625","9,174",248,472,"January 31, 2021","January 31, 2021","Fantasy, Vampires, Romance, LGBT, Historical Fiction, Gothic, Adult, Fiction, Lesbian, Queer",Nyx Publishing,9781916366930,English,,1916366937,4.03
337907,House of Leaves,https://www.goodreads.com/book/show/337907.House_of_Leaves,,Mark Z. Danielewski,"162,816","16,186",709,472,"November 30, 2000","May 7, 2000","Horror, Fiction, Fantasy, Mystery, Thriller, Contemporary, Novels, Adult, Paranormal, Literature",Pantheon Books,9780375703768,English,"Bram Stoker Award Nominee for Best First Novel (2000), Locus Award Nominee for Best First Novel (2001), New York Public Library Young Lions Fiction Award (2001), Guardian First Book Award Nominee (2000), James Tait Black Memorial Prize Nominee for Fiction (2000), International Horror Guild Award Nominee for Best First Novel (2000), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2014)",0375703764,4.09
50882394,The Blood Traitor,https://www.goodreads.com/book/show/50882394-the-blood-traitor,The Prison Healer #3,Lynette Noni,"26,087","4,005",464,472,"June 14, 2022","June 14, 2022","Fantasy, Young Adult, Romance, Young Adult Fantasy, Magic, Fiction, Fantasy Romance, Audiobook, High Fantasy, Adventure",Houghton Mifflin Harcourt (Clarion Books),9780358436379,English,,0358436370,4.46
1161439,Fell,https://www.goodreads.com/book/show/1161439.Fell,The Sight #2,David Clement-Davies,"6,056",301,523,471,"September 1, 2007","October 1, 2007","Fantasy, Young Adult, Animals, Fiction, Wolves, Adventure, Childrens, Animal Fiction, Magic, Werewolves",Amulet Books,9780810911857,English,,081091185X,4.18
13157,The Jester,https://www.goodreads.com/book/show/13157.The_Jester,,James Patterson,"20,084","1,149",548,471,"March 1, 2004","March 3, 2003","Fiction, Mystery, Historical Fiction, Thriller, Mystery Thriller, Fantasy, Crime, Murder Mystery, Adult, Historical",Headline,9780755300204,English,,0755300203,3.81
48858,Travels with My Aunt,https://www.goodreads.com/book/show/48858.Travels_with_My_Aunt,,Graham Greene,"14,805","1,306",254,471,"September 28, 2004","January 1, 1969","Fiction, Classics, Travel, Humor, Literature, British Literature, Novels, Literary Fiction, 20th Century, Comedy",Penguin Classics,9780143039006,English,,0143039008,3.81
5927462,Goddess Boot Camp,https://www.goodreads.com/book/show/5927462-goddess-boot-camp,Oh. My. Gods. #2,Tera Lynn Childs,"11,415",404,264,471,"June 11, 2009","January 1, 2009","Mythology, Young Adult, Fantasy, Romance, Paranormal, Greek Mythology, Fiction, Teen, Chick Lit, Contemporary",Dutton Books for Young Readers,9780525421344,English,,0525421343,3.89
6539105,Tales of the Otherworld,https://www.goodreads.com/book/show/6539105-tales-of-the-otherworld,Otherworld Stories #2,Kelley Armstrong,"10,943",461,387,471,"April 13, 2010","April 13, 2010","Urban Fantasy, Paranormal, Fantasy, Vampires, Werewolves, Romance, Paranormal Romance, Anthologies, Short Stories, Supernatural",Bantam,9780553807882,English,,0553807889,4.24
8389671,The Red Garden,https://www.goodreads.com/book/show/8389671-the-red-garden,,Alice Hoffman,"23,277","3,000",270,471,"January 25, 2011","January 1, 2011","Fiction, Historical Fiction, Magical Realism, Short Stories, Fantasy, Historical, Audiobook, Adult Fiction, Literary Fiction, Adult",Crown Publishers,9780307393876,English,,0307393879,3.73
12891107,King of Thorns,https://www.goodreads.com/book/show/12891107-king-of-thorns,The Broken Empire #2,Mark Lawrence,"64,926","3,150",449,471,"August 7, 2012","August 1, 2012","Fantasy, Fiction, Dark Fantasy, Epic Fantasy, High Fantasy, Post Apocalyptic, Magic, Science Fiction, Dark, Adult",Ace Books,9781937007478,English,,1937007472,4.19
