id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
7726143,Origins,https://www.goodreads.com/book/show/7726143-origins,The Vampire Diaries: Stefan's Diaries #1,L.J. Smith,"93,474","1,120",237,964,"November 2, 2010","November 1, 2010","Vampires, Fantasy, Young Adult, Paranormal, Romance, Supernatural, Fiction, Urban Fantasy, Paranormal Romance, Horror",HarperTeen,9780062003935,English,,0062003933,4.14
669780,Season of Migration to the North,https://www.goodreads.com/book/show/669780.Season_of_Migration_to_the_North,,Tayeb Salih,"27,896","3,666",176,964,"January 1, 1970","January 1, 1966","Fiction, Classics, Africa, Novels, Sudan, Literature, Historical Fiction, African Literature, 20th Century, School",Heinemann,9780435900663,English,,0435900668,3.72
44492287,Heretics of Dune,https://www.goodreads.com/book/show/44492287-heretics-of-dune,Dune #5,Frank Herbert,"77,422","2,396",669,963,"June 4, 2019","April 1, 1984","Science Fiction, Fiction, Fantasy, Science Fiction Fantasy, Classics, Space Opera, Audiobook, Novels, Space, Speculative Fiction",Ace,9780593098264,English,,0593098269,3.87
345299,Midnight Tides,https://www.goodreads.com/book/show/345299.Midnight_Tides,Malazan Book of the Fallen #5,Steven Erikson,"40,277","1,662",960,963,"April 4, 2005","January 1, 2004","Fantasy, Epic Fantasy, Fiction, High Fantasy, Epic, Dark Fantasy, Science Fiction Fantasy, War, Audiobook, Military Fiction",Bantam,9780553813142,English,,0553813145,4.41
11324722,The Righteous Mind: Why Good People Are Divided by Politics and Religion,https://www.goodreads.com/book/show/11324722-the-righteous-mind,,Jonathan Haidt,"54,227","5,802",419,963,"March 13, 2012","March 13, 2012","Nonfiction, Psychology, Politics, Philosophy, Religion, Science, Sociology, Audiobook, Society, Social Science",Pantheon,,English,,,4.20
61713802,City of Dreams,https://www.goodreads.com/book/show/61713802-city-of-dreams,Danny Ryan #2,Don Winslow,"7,907",727,352,963,"April 18, 2023","April 18, 2023","Fiction, Crime, Thriller, Mystery, Audiobook, Mystery Thriller, Historical Fiction, Action, Novels, Adult Fiction",William Morrow,9780062851239,English,,0062851233,4.07
54030721,The Dentist,https://www.goodreads.com/book/show/54030721-the-dentist,The DS Cross Mysteries #1,Tim Sullivan,"6,498",389,360,963,"June 15, 2020","June 10, 2020","Mystery, Fiction, Crime, Thriller, Detective, Mystery Thriller, Audiobook, British Literature, Autistic Spectrum Disorder, Suspense",,,English,,,4.22
28508648,Confederates: A Novel,https://www.goodreads.com/book/show/28508648-confederates,,Thomas Keneally,"1,029",78,587,963,"December 22, 2015","January 1, 1979","Historical Fiction, Fiction, Civil War, American Civil War, Historical, War, Australia, American History, The United States Of America, Americana",Open Road Media,,English,,,4.06
57586,Giants in the Earth,https://www.goodreads.com/book/show/57586.Giants_in_the_Earth,Fortælling om norske nykommere i Amerika #1 & 2,O.E. Rølvaag,"5,675",612,531,962,"November 15, 2022","January 1, 1925","Fiction, Historical Fiction, Classics, Literature, Historical, Novels, Scandinavian Literature, The United States Of America, Westerns, Americana",Harper Perennial Modern Classics,9780060931933,English,,0060931930,4.02
7802254,Succubus Revealed,https://www.goodreads.com/book/show/7802254-succubus-revealed,Georgina Kincaid #6,Richelle Mead,"21,973","1,734",277,962,"August 30, 2011","August 30, 2011","Urban Fantasy, Paranormal, Fantasy, Romance, Paranormal Romance, Demons, Vampires, Angels, Adult, Supernatural",Kensington,9780758232014,English,,0758232012,4.27
17565845,Panic,https://www.goodreads.com/book/show/17565845-panic,Panic #1,Lauren Oliver,"60,274","7,023",408,962,"March 4, 2014","March 4, 2014","Young Adult, Contemporary, Fiction, Romance, Thriller, Mystery, Realistic Fiction, Dystopia, Audiobook, Young Adult Contemporary",HarperCollins,9780062014559,English,,0062014552,3.56
50022883,Defy the Night,https://www.goodreads.com/book/show/50022883-defy-the-night,Defy the Night #1,Brigid Kemmerer,"42,341","6,716",448,962,"September 14, 2021","September 14, 2021","Fantasy, Young Adult, Romance, Young Adult Fantasy, Fiction, Fantasy Romance, Retellings, High Fantasy, Audiobook, Dystopia",Bloomsbury YA,9781547604678,English,,1547604670,4.16
57718015,The Missionary,https://www.goodreads.com/book/show/57718015-the-missionary,,Rowena Kinread,710,23,357,962,"April 29, 2021","Published April 29, 2021","Historical Fiction, Fiction",Pegasus Elliot Mackenzie Publishers,9781800160262,English,,1800160267,4.31
10600242,How to Be a Woman,https://www.goodreads.com/book/show/10600242-how-to-be-a-woman,,Caitlin Moran,"108,282","9,081",312,961,"June 16, 2011","June 16, 2011","Nonfiction, Feminism, Memoir, Humor, Biography, Audiobook, Womens, Biography Memoir, Essays, Autobiography",Ebury Press,9780091940737,English,,0091940737,3.72
6694937,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",https://www.goodreads.com/book/show/6694937-game-change,Game Change #1,John Heilemann,"22,217","2,672",448,961,"January 11, 2010","January 11, 2010","Politics, Nonfiction, History, American History, Presidents, Biography, Audiobook, Journalism, Political Science, American",Harper,9780061733635,English,,0061733636,4.13
58436763,The Son,https://www.goodreads.com/book/show/58436763-the-son,"The Emperor, The Son and The Thief #2",Robert Reid,244,2,340,961,"June 24, 2021","Published June 24, 2021",,independant,9798526091039,English,,,4.38
22304,Life After God,https://www.goodreads.com/book/show/22304.Life_After_God,,Douglas Coupland,"11,823",518,291,960,"January 1, 2002","January 1, 1994","Fiction, Short Stories, Canada, Contemporary, Literature, Religion, Novels, Philosophy, Literary Fiction, Collections",Simon & Schuster,9780743231510,English,,0743231511,3.83
