id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
3482579,يوميات نائب في الأرياف,https://www.goodreads.com/book/show/3482579,,Tawfiq Al-Hakim,"9,461","1,164",160,524,"January 1, 2004","January 1, 1937","Novels, Fiction, Literature, Egypt, Classics, Politics, Egyptian Literature, 20th Century, Audiobook, Crime",دار الشروق,(ISBN10:,Arabic,,,3.90
86147,"Bright Lights, Big City",https://www.goodreads.com/book/show/86147.Bright_Lights_Big_City,,Jay McInerney,"33,156","1,931",208,524,"August 12, 1984","August 12, 1984","Fiction, Classics, New York, Novels, Contemporary, American, Literary Fiction, Literature, The United States Of America, 20th Century",Vintage,,English,,,3.79
38379,Ring,https://www.goodreads.com/book/show/38379.Ring,リング [Ring] #1,Kōji Suzuki,"22,448","2,393",282,524,"April 25, 2004","January 1, 1991","Horror, Fiction, Japan, Japanese Literature, Mystery, Thriller, Fantasy, Paranormal, Supernatural, Adult",Vertical,9781932234411,English,,1932234411,3.80
7099273,"The Other Wes Moore: One Name, Two Fates",https://www.goodreads.com/book/show/7099273-the-other-wes-moore,,Wes Moore,"49,818","5,631",233,524,"April 27, 2010","April 27, 2010","Nonfiction, Memoir, Biography, School, Audiobook, Biography Memoir, Race, Sociology, African American, Book Club",One World,9780385528191,English,,0385528191,3.86
12716613,The Witness,https://www.goodreads.com/book/show/12716613-the-witness,,Nora Roberts,"81,216","5,743",757,524,"April 17, 2012","April 17, 2012","Romance, Romantic Suspense, Mystery, Fiction, Suspense, Contemporary, Contemporary Romance, Thriller, Crime, Audiobook",G.P. Putnam's Sons,,English,,,4.24
16033906,Fever,https://www.goodreads.com/book/show/16033906-fever,Breathless #2,Maya Banks,"54,366","2,715",416,524,"April 2, 2013","March 18, 2013","Romance, Erotica, BDSM, Contemporary Romance, Contemporary, Erotic Romance, Adult, Menage, Fiction, New Adult",Berkley,9780425267066,English,,0425267067,3.97
13546173,The Assassin and the Underworld,https://www.goodreads.com/book/show/13546173-the-assassin-and-the-underworld,Throne of Glass #0.4,Sarah J. Maas,"41,571","1,981",102,524,"May 1, 2012","May 1, 2012","Fantasy, Young Adult, Romance, Novella, Short Stories, Fiction, High Fantasy, Young Adult Fantasy, New Adult, Magic",Bloomsbury USA Childrens,,English,,,4.34
2430907,A Fórmula de Deus,https://www.goodreads.com/book/show/2430907.A_F_rmula_de_Deus,Tomás Noronha #2,José Rodrigues dos Santos,"10,130",590,574,524,"October 1, 2006","October 1, 2006","Fiction, Thriller, Romance, Portuguese Literature, Mystery, Portugal, Roman, Mystery Thriller, Novels, Religion",Gradiva,9789896161392,Portuguese,,,3.94
31180248,Leah on the Offbeat,https://www.goodreads.com/book/show/31180248-leah-on-the-offbeat,Simonverse #3,Becky Albertalli,"73,847","10,585",352,524,"April 24, 2018","April 24, 2018","Young Adult, LGBT, Contemporary, Romance, Queer, Fiction, Audiobook, Realistic Fiction, Lesbian, Young Adult Contemporary",HarperCollins/Balzer + Bray,9780062643803,English,,0062643800,3.80
42815556,Spin the Dawn,https://www.goodreads.com/book/show/42815556-spin-the-dawn,The Blood of Stars #1,Elizabeth Lim,"53,801","9,449",392,524,"July 9, 2019","July 9, 2019","Fantasy, Young Adult, Romance, Young Adult Fantasy, Retellings, Fiction, Magic, High Fantasy, Adventure, Mythology",Alfred A. Knopf Books for Young Readers,,English,,,3.99
28116,The Know-It-All,https://www.goodreads.com/book/show/28116.The_Know_It_All,,A.J. Jacobs,"29,074","2,576",388,524,"January 1, 2005","January 1, 2004","Nonfiction, Humor, Memoir, Biography, Books About Books, Biography Memoir, Autobiography, History, Education, Audiobook",Simon & Schuster,9780743250627,English,,0743250621,3.75
20417,Have Space Suit—Will Travel,https://www.goodreads.com/book/show/20417.Have_Space_Suit_Will_Travel,,Robert A. Heinlein,"29,900","1,100",276,523,"February 8, 2005","September 1, 1958","Science Fiction, Fiction, Young Adult, Classics, Science Fiction Fantasy, Audiobook, Adventure, Space, Space Opera, Fantasy",Pocket Books,9781416505495,English,,1416505490,3.92
112752,The Immortal Highlander,https://www.goodreads.com/book/show/112752.The_Immortal_Highlander,Highlander #6,Karen Marie Moning,"36,278","1,336",348,523,"July 26, 2005","August 1, 2004","Romance, Paranormal Romance, Paranormal, Fantasy, Time Travel, Historical Romance, Historical, Fae, Historical Fiction, Fiction",Dell,9780440237563,English,,0440237564,4.30
14241,The Liars' Club,https://www.goodreads.com/book/show/14241.The_Liars_Club,,Mary Karr,"67,596","3,635",320,523,,"January 1, 1995","Memoir, Nonfiction, Biography, Biography Memoir, Autobiography, Coming Of Age, Book Club",,,,,,3.94
10790277,Rise of Empire,https://www.goodreads.com/book/show/10790277-rise-of-empire,The Riyria Revelations #3-4,Michael J. Sullivan,"49,632","2,218",786,523,"December 14, 2011","April 8, 2010","Fantasy, Fiction, Epic Fantasy, Audiobook, Adventure, High Fantasy, Magic, Adult, Science Fiction Fantasy, Epic",Orbit,9780316187701,English,,0316187704,4.36
3300083,The Moomins and the Great Flood,https://www.goodreads.com/book/show/3300083-the-moomins-and-the-great-flood,Mumintrollen #1,Tove Jansson,"16,923",956,52,523,,"January 1, 1945","Fantasy, Childrens, Fiction, Classics, Finnish Literature, Middle Grade, Adventure",,,,,,4.03
586852,The Wall,https://www.goodreads.com/book/show/586852.The_Wall,,Marlen Haushofer,"15,244","1,884",240,523,"December 1, 1999","January 1, 1963","Fiction, Science Fiction, Dystopia, Classics, German Literature, Post Apocalyptic, Novels, Roman, Survival, Germany",Cleis Press,9781573440943,English,,1573440949,4.04
31170723,Behave: The Biology of Humans at Our Best and Worst,https://www.goodreads.com/book/show/31170723-behave,,Robert M. Sapolsky,"21,303","2,399",790,523,"May 2, 2017","May 2, 2017","Science, Nonfiction, Psychology, Biology, Neuroscience, Philosophy, Anthropology, Self Help, Sociology, Audiobook",Penguin Press,9781594205071,English,,1594205078,4.41
44375176,Nine Elms,https://www.goodreads.com/book/show/44375176-nine-elms,Kate Marshall #1,Robert Bryndza,"26,145","2,238",392,523,"December 1, 2019","November 1, 2019","Thriller, Mystery, Crime, Fiction, Mystery Thriller, Suspense, Audiobook, Detective, Contemporary, Adult",Thomas & Mercer,9781542005692,English,,1542005698,4.11
94799,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,https://www.goodreads.com/book/show/94799.Ghost_Soldiers,,Hampton Sides,"36,013","1,716",344,522,,"May 15, 2001","History, Nonfiction, World War II, War, Military Fiction, Military History, American History",,,,,,4.23
350710,The Magic of You,https://www.goodreads.com/book/show/350710.The_Magic_of_You,Malory-Anderson Families #4,Johanna Lindsey,"15,079",514,407,522,"March 29, 2005","June 1, 1993","Historical Romance, Romance, Historical, Regency, Historical Fiction, Fiction, Adult, Regency Romance, Humor, British Literature",Avon,9780380756292,English,,0380756293,4.17
15159,Absolute Power,https://www.goodreads.com/book/show/15159.Absolute_Power,Absoliuti galia #1,David Baldacci,"104,575","2,322",550,522,"January 1, 2003","October 4, 1995","Fiction, Thriller, Mystery, Suspense, Crime, Mystery Thriller, Audiobook, Politics, Action, Novels",Pan,9780330419642,English,,0330419641,4.19
17707648,The Hen Who Dreamed She Could Fly,https://www.goodreads.com/book/show/17707648-the-hen-who-dreamed-she-could-fly,,Sun-mi Hwang,"17,854","3,060",134,522,"November 26, 2013","January 1, 2000","Fiction, Fantasy, Animals, Asia, Novels, Asian Literature, Contemporary, Childrens, Literature, Adult",Penguin Books,9780143123200,English,,0143123203,3.98
2211221,Nothing to Lose,https://www.goodreads.com/book/show/2211221.Nothing_to_Lose,Jack Reacher #12,Lee Child,"67,257","3,144",416,522,"June 3, 2008","March 24, 2008","Thriller, Fiction, Mystery, Crime, Action, Suspense, Mystery Thriller, Audiobook, Adventure, Detective",Delacorte Press,9780385340564,English,,0385340567,3.93
