id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
207684,Jinx,https://www.goodreads.com/book/show/207684.Jinx,,Meg Cabot,"26,716","1,541",262,"1,083","August 1, 2007","January 1, 2007","Young Adult, Fantasy, Romance, Paranormal, Chick Lit, Magic, Fiction, Witches, Teen, Supernatural",HarperTeen,9780060837648,English,,0060837640,3.72
23200514,Chase the Dark,https://www.goodreads.com/book/show/23200514-chase-the-dark,Steel & Stone #1,Annette Marie,"13,420",990,302,"1,083","October 17, 2014","October 12, 2014","Fantasy, Urban Fantasy, Paranormal, Romance, Young Adult, Magic, Demons, New Adult, Dragons, Paranormal Romance",Annette Marie,9780993910210,English,,0993910211,4.17
39555142,Birthday Girl,https://www.goodreads.com/book/show/39555142-birthday-girl,,Penelope Douglas,"256,360","23,252",349,"1,083","April 17, 2018","April 15, 2018","Romance, Contemporary, New Adult, Contemporary Romance, Adult, Fiction, Audiobook, Erotica, College, Young Adult",Penelope Douglas LLC,,English,,,3.96
16789,The Good Fairies of New York,https://www.goodreads.com/book/show/16789.The_Good_Fairies_of_New_York,,Martin Millar,"5,425",695,242,"1,082","September 20, 2006","January 1, 1992","Fantasy, Fiction, Urban Fantasy, Humor, Fairies, Science Fiction Fantasy, New York, Adult, Contemporary, Paranormal",Soft Skull,9781933368368,English,,1933368365,3.52
129621,Almost Heaven,https://www.goodreads.com/book/show/129621.Almost_Heaven,Sequels #3,Judith McNaught,"27,940","1,154",544,"1,082","September 1, 1997","January 1, 1989","Historical Romance, Romance, Historical, Historical Fiction, Regency, Fiction, Adult, Regency Romance, Chick Lit, Scotland",Pocket,9780671011338,English,,0671011332,4.34
16074748,Tales from a Not-So-Happy Heartbreaker,https://www.goodreads.com/book/show/16074748-tales-from-a-not-so-happy-heartbreaker,Dork Diaries #6,Rachel Renée Russell,"26,168","1,083",368,"1,082","June 4, 2013","June 4, 2013","Middle Grade, Childrens, Graphic Novels, Realistic Fiction, Fiction, Romance, Diary, Humor, Contemporary, Comedy",Aladdin,9781442449633,English,,1442449632,4.34
40207839,The Eighth Sister,https://www.goodreads.com/book/show/40207839-the-eighth-sister,Charles Jenkins #1,Robert Dugoni,"36,120","2,024",479,"1,082","April 9, 2019","April 9, 2019","Fiction, Thriller, Mystery, Espionage, Mystery Thriller, Suspense, Audiobook, Crime, Russia, Spy Thriller",Thomas & Mercer,9781503958302,English,,1503958302,4.20
13067,Flush,https://www.goodreads.com/book/show/13067.Flush,,Carl Hiaasen,"30,672","2,853",263,"1,081","September 13, 2005","January 1, 2005","Young Adult, Fiction, Realistic Fiction, Mystery, Middle Grade, Humor, Childrens, Contemporary, Adventure, Audiobook",Knopf Books for Young Readers,9780375821820,English,,0375821821,3.89
63038,The Man Who Laughs,https://www.goodreads.com/book/show/63038.The_Man_Who_Laughs,,Victor Hugo,"12,788",872,672,"1,081","August 19, 2006","April 1, 1869","Classics, Fiction, France, Historical Fiction, French Literature, Literature, Novels, Historical, 19th Century, Romance",Norilana Books,9781934169001,English,,1934169005,4.24
859694,Vathek,https://www.goodreads.com/book/show/859694.Vathek,,William Beckford,"6,419",555,180,"1,081","January 1, 1999","January 1, 1786","Gothic, Classics, Horror, Fiction, Fantasy, 18th Century, Literature, Novels, British Literature, Gothic Horror",Oxford University Press,9780192836564,English,,0192836560,3.25
13153370,My Policeman,https://www.goodreads.com/book/show/13153370-my-policeman,,Bethan Roberts,"75,155","10,338",352,"1,081","March 5, 2012","February 2, 2012","Romance, LGBT, Fiction, Historical Fiction, Queer, Historical, Contemporary, Gay, Literary Fiction, Adult",Chatto & Windus,9780701185848,English,,0701185848,4.02
32951022,,https://www.goodreads.com/book/show/32951022-secret-slave,,,,,,"1,081",,,,,,,,,
29405007,Freedom: My Book of Firsts,https://www.goodreads.com/book/show/29405007-freedom,Jaycee Dugard,Jaycee Dugard,"4,394",433,272,"1,081","July 12, 2016","January 1, 2016","Nonfiction, Memoir, Biography, True Crime, Autobiography, Biography Memoir, Audiobook, Crime, Inspirational, Adult",Simon Schuster,9781501147647,English,,1501147641,3.52
25101,"The Sandman, Vol. 4: Season of Mists",https://www.goodreads.com/book/show/25101.The_Sandman_Vol_4,The Sandman #4,Neil Gaiman,"76,237","2,675",224,"1,080","March 10, 1999","January 1, 1990","Graphic Novels, Comics, Fantasy, Fiction, Horror, Graphic Novels Comics, Comic Book, Mythology, Urban Fantasy, Adult",Vertigo,9781563890352,English,,1563890356,4.54
29342515,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",https://www.goodreads.com/book/show/29342515-the-coaching-habit,,Michael Bungay Stanier,"21,990","1,781",117,"1,080","February 29, 2016","February 29, 2016","Leadership, Business, Nonfiction, Management, Self Help, Personal Development, Psychology, Communication, Buisness, Audiobook",Box of Crayons Press,,English,,,4.03
58438630,In the Blood,https://www.goodreads.com/book/show/58438630-in-the-blood,Terminal List #5,Jack Carr,"15,267",769,460,"1,080","May 17, 2022","May 31, 2022","Fiction, Thriller, Audiobook, Military Fiction, Action, Mystery, Mystery Thriller, Suspense, Spy Thriller, Espionage",Atria/Emily Bestler Books,9781982181659,English,,1982181656,4.50
252,Sexus,https://www.goodreads.com/book/show/252.Sexus,The Rosy Crucifixion #1,Henry Miller,"9,397",420,506,"1,079","January 12, 1994","January 1, 1949","Fiction, Classics, Literature, Novels, Erotica, American, 20th Century, The United States Of America, Romance, Roman",Grove Press,9780802151803,English,,0802151809,4.01
6345193,Invisible,https://www.goodreads.com/book/show/6345193-invisible,,Paul Auster,"20,608","1,590",308,"1,079","October 27, 2009","October 27, 2009","Fiction, Contemporary, American, Novels, Literature, Literary Fiction, The United States Of America, Mystery, New York, 21st Century",Henry Holt and Co.,9780805090802,English,,0805090800,3.73
30334,Hawksong,https://www.goodreads.com/book/show/30334.Hawksong,The Kiesha'ra #1,Amelia Atwater-Rhodes,"22,263","1,031",243,"1,079","September 28, 2004","July 8, 2003","Fantasy, Young Adult, Romance, Paranormal, Shapeshifters, Fiction, Young Adult Fantasy, Supernatural, Magic, Teen",Laurel Leaf,9780440238034,English,,044023803X,4.16
23214408,After Ever Happy,https://www.goodreads.com/book/show/23214408-after-ever-happy,After #4,Anna Todd,"131,905","5,731",512,"1,079","February 24, 2015","July 6, 2015","Romance, New Adult, Young Adult, Contemporary, Fiction, College, Contemporary Romance, Audiobook, Love, Drama",Gallery Books,9781501106408,English,,1501106406,3.96
18816603,Leaving Time,https://www.goodreads.com/book/show/18816603-leaving-time,Leaving Time #1,Jodi Picoult,"175,245","18,021",398,"1,079","October 14, 2014","October 14, 2014","Fiction, Mystery, Audiobook, Contemporary, Adult Fiction, Adult, Chick Lit, Paranormal, Animals, Drama",Ballantine Books,9780345544926,English,,0345544927,3.99
58955775,The Big Dark Sky,https://www.goodreads.com/book/show/58955775-the-big-dark-sky,,Dean Koontz,"19,035","1,147",390,"1,079","July 19, 2022","July 19, 2022","Horror, Thriller, Science Fiction, Fiction, Mystery, Suspense, Fantasy, Mystery Thriller, Aliens, Audiobook",Thomas & Mercer,,English,,,4.03
11267847,A Job From Hell,https://www.goodreads.com/book/show/11267847-a-job-from-hell,Ancient Legends #1,Jayde Scott,"8,250",663,371,"1,078","May 1, 2011","April 30, 2011","Vampires, Paranormal, Young Adult, Romance, Fantasy, Paranormal Romance, Supernatural, Demons, Magic, Urban Fantasy",Aurora Press,9781458183729,English,,1458183726,3.56
13448656,Motorcycle Man,https://www.goodreads.com/book/show/13448656-motorcycle-man,Dream Man #4,Kristen Ashley,"56,708","3,878",335,"1,078","May 22, 2012","December 11, 2012","Romance, Contemporary Romance, Contemporary, Adult, Erotica, Romantic Suspense, Suspense, Chick Lit, Erotic Romance, Fiction",Smashwords,9781476248950,English,,1476248958,4.38
62341084,Behavior Reports: A WWII Submarine Adventure Novel,https://www.goodreads.com/book/show/62341084-behavior-reports,,Scott Cook,"1,224",26,344,"1,078","September 7, 2022","Published September 7, 2022",,Spindrift Press,,English,,,4.34
336245,A Dangerous Path,https://www.goodreads.com/book/show/336245.A_Dangerous_Path,Warriors #5,Erin Hunter,"47,589","1,434",313,"1,077","May 24, 2005","June 1, 2004","Fantasy, Animals, Fiction, Middle Grade, Childrens, Young Adult, Adventure, Cats, Animal Fiction, Action",Avon Books,9780060525651,English,,0060525657,4.44
126503,Spellsinger,https://www.goodreads.com/book/show/126503.Spellsinger,Spellsinger #1,Alan Dean Foster,"7,179",270,347,"1,077","January 1, 2004","March 1, 1983","Fantasy, Fiction, Humor, Science Fiction Fantasy, Science Fiction, Magic, High Fantasy, Audiobook, Comedy, Adventure",UNKNO,9780743498258,English,,0743498259,3.87
9118135,State of Wonder,https://www.goodreads.com/book/show/9118135-state-of-wonder,,Ann Patchett,"185,172","18,056",353,"1,077","June 7, 2011","May 3, 2011","Fiction, Literary Fiction, Contemporary, Book Club, Adult Fiction, Mystery, Adult, Audiobook, Adventure, Novels",HarperCollins Publishers,9780062049803,English,,0062049801,3.89
14060046,Obsession,https://www.goodreads.com/book/show/14060046-obsession,,Jennifer L. Armentrout,"28,932","2,688",249,"1,077","May 31, 2013","May 31, 2013","Romance, Paranormal, Aliens, Fantasy, New Adult, Paranormal Romance, Adult, Science Fiction, Supernatural, Young Adult",Entangled: Embrace,,English,,,4.10
201341,Mossflower,https://www.goodreads.com/book/show/201341.Mossflower,Redwall #2,Brian Jacques,"68,427","1,151",373,"1,077","November 1, 1998","January 1, 1989","Fantasy, Fiction, Young Adult, Childrens, Animals, Adventure, Middle Grade, Science Fiction Fantasy, Classics, Juvenile",ACE Books,(ISBN10:,English,,,4.12
