id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
24611623,In Order to Live: A North Korean Girl's Journey to Freedom,https://www.goodreads.com/book/show/24611623-in-order-to-live,,Yeonmi Park,"78,585","7,646",273,660,,"September 25, 2015","Nonfiction, Memoir, Biography, Autobiography, History, Audiobook, Asia",,,,,,4.49
233504,Slaves of New York,https://www.goodreads.com/book/show/233504.Slaves_of_New_York,,Tama Janowitz,"3,573",187,278,660,"January 1, 2004","January 1, 1986","Fiction, Short Stories, New York, Contemporary, Literature, American, Novels, Literary Fiction, Adult Fiction, The United States Of America",Bloomsbury Publishing PLC,9780747574606,English,,074757460X,3.50
38330854,The Perfect Nanny,https://www.goodreads.com/book/show/38330854-the-perfect-nanny,,Leïla Slimani,"103,559","10,989",228,660,"January 9, 2018","August 18, 2016","Fiction, Thriller, Mystery, France, Contemporary, Mystery Thriller, Crime, Adult, Suspense, Novels",Penguin Books,,English,"Prix Goncourt (2016), Los Angeles Times Book Prize Nominee for Mystery/Thriller (2018), Edgar Award Nominee for Best Paperback Original (2019), Prix du deuxième roman Nominee (2017), Europese Literatuurprijs Nominee (2018), Prix des prix littéraires Nominee (2016), Prix de l'Algue d'Or Nominee (2017)",,3.39
56590530,When the children come,https://www.goodreads.com/book/show/56590530-when-the-children-come,Children of the Eye #1,Barry Kirwan,365,42,296,660,"January 8, 2021","Published January 8, 2021","Science Fiction, Thriller, Novels, Drama",,,English,,,4.37
57282218,Lore Olympus: Volume One,https://www.goodreads.com/book/show/57282218-lore-olympus,Lore Olympus #1,Rachel Smythe,"114,267","10,786",384,660,"November 2, 2021","November 2, 2021","Graphic Novels, Fantasy, Romance, Mythology, Comics, Retellings, Fiction, Greek Mythology, Adult, Graphic Novels Comics",Del Rey,9780593160299,English,,0593160290,4.30
112973743,The Stars Don't Lie,https://www.goodreads.com/book/show/112973743-the-stars-don-t-lie,,Boo Walker,"5,656",297,347,660,"August 22, 2023","August 22, 2023","Fiction, Contemporary, Novels, Audiobook, Drama, Romance",Lake Union Publishing,9781662508776,English,,1662508778,4.24
510247,April Fool's Day,https://www.goodreads.com/book/show/510247.April_Fool_s_Day,,Bryce Courtenay,"8,425",378,673,659,"January 1, 1998","January 1, 1993","Nonfiction, Biography, Memoir, Australia, Biography Memoir, Drama, Autobiography, True Story, Classics, Contemporary",Pen Commercial,9780140272932,English,,0140272933,4.20
44660,The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game,https://www.goodreads.com/book/show/44660.The_Belgariad_Boxed_Set,The Belgariad #1-5,David Eddings,"15,941",301,1635,659,"October 28, 1986","January 1, 1984","Fantasy, Epic Fantasy, Fiction, High Fantasy, Science Fiction Fantasy, Adventure, Young Adult, Classics, Magic, Epic",Ballantine Books,9780345340443,English,,0345340442,4.29
25148,The Fuck-Up,https://www.goodreads.com/book/show/25148.The_Fuck_Up,,Arthur Nersesian,"11,110",489,304,659,"May 1, 1999","January 1, 1997","Fiction, Novels, Humor, Contemporary, New York, Coming Of Age, Young Adult, Literature, Literary Fiction, Dark",MTV Books,9780671027636,English,,0671027638,3.58
5266667,A Kiss in Time,https://www.goodreads.com/book/show/5266667-a-kiss-in-time,,Alex Flinn,"19,294","1,827",371,659,"April 28, 2009","November 9, 2008","Fantasy, Young Adult, Romance, Fairy Tales, Retellings, Magic, Fiction, Fairy Tale Retellings, Teen, Time Travel",HarperTeen,9780060874193,English,,0060874198,3.75
