id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
205196,Electra,https://www.goodreads.com/book/show/205196.Electra,,Sophocles,"12,509",459,128,400,"September 1, 2004","January 1, 411","Plays, Classics, Drama, Mythology, Fiction, Theatre, Poetry, Literature, Ancient, Tragedy",Nick Hern Books,9781854597564,English,,1854597566,3.81
49504061,The Once and Future Witches,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,,Alix E. Harrow,"76,460","11,279",517,400,"October 13, 2020","October 13, 2020","Fantasy, Historical Fiction, Fiction, Witches, Historical, Magic, Adult, LGBT, Audiobook, Paranormal",Redhook,9780316422048,English,,0316422045,4.05
31845516,Love Warrior,https://www.goodreads.com/book/show/31845516-love-warrior,,Glennon Doyle Melton,"69,585","6,141",272,400,"September 6, 2016","September 6, 2016","Memoir, Nonfiction, Audiobook, Self Help, Biography, Biography Memoir, Spirituality, Personal Development, Relationships, Adult",St. Martin’s Press,9781250128546,English,,1250128544,4.07
56029579,Come with Me,https://www.goodreads.com/book/show/56029579-come-with-me,,Ronald Malfi,"9,786","1,547",407,400,"July 20, 2021","July 20, 2021","Horror, Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Crime, Adult, Fantasy",Titan Books,9781789097382,English,,178909738X,3.97
1961704,The Lunatics of Terra,https://www.goodreads.com/book/show/1961704.The_Lunatics_of_Terra,,John Sladek,23,2,144,400,"August 1, 2005","January 1, 1984",Science Fiction,Cosmos Books,9781587154102,English,,1587154102,3.70
59588437,Vincent Van Gogh Head Of A Skeleton With A Burning Cigarette Notebook: - 6 x 9 inches with 110 pages,https://www.goodreads.com/book/show/59588437-vincent-van-gogh-head-of-a-skeleton-with-a-burning-cigarette-notebook,,Alan Wells,0,0,Paperback,400,"October 11, 2021","Published October 11, 2021",,,,9798494117724,,,0.00
57519480,Fish Skeleton Drawings: Art for beginner,https://www.goodreads.com/book/show/57519480-fish-skeleton-drawings,,SS P,0,0,Kindle,400,"June 10, 2020","Published June 10, 2020",,,,,,,0.00
56984085,Vintage Collection of Animal Skeleton Illustrations,https://www.goodreads.com/book/show/56984085-vintage-collection-of-animal-skeleton-illustrations,,Jeremy Warlen,0,0,Kindle,400,"May 2, 2020","Published May 2, 2020",,,,English,,,0.00
57226981,"The Skeleton On Round Island: From ""Mackinac And Lake Stories"", 1899",https://www.goodreads.com/book/show/57226981-the-skeleton-on-round-island,,Mary Hartwell Catherwood,0,0,26,400,"December 17, 2019","Published December 17, 2019",,Good Press,,English,,,0.00
531016,Dancing Skeletons: Life and Death in West Africa,https://www.goodreads.com/book/show/531016.Dancing_Skeletons,,Katherine A. Dettwyler,"1,227",86,172,400,"January 1, 1993","July 1, 1993","Anthropology, Nonfiction, Africa, School, Ethnography, Memoir, Science, Read For School, College, History",Waveland Pr Inc,9780881337488,English,,088133748X,3.80
62071256,The Secret of Leifeng Pagoda,https://www.goodreads.com/book/show/62071256-the-secret-of-leifeng-pagoda,Professor Shantanu Bose #3,Ruby Gupta,96,92,280,400,"August 25, 2022","Published August 25, 2022",,Vishwakarma Publications,,English,,,4.74
2142454,The Old Straight Track : The Classic Book on Ley Lines,https://www.goodreads.com/book/show/2142454.The_Old_Straight_Track_,,Alfred Watkins,226,35,252,400,"April 2, 2007","January 1, 1925","Nonfiction, History, British Literature, Archaeology, Folklore, Occult, Nature, Travel, Walking, Ancient History",Abacus,,9780349137070 (ISBN10: 0349137072),,,3.63
215540,The Quillan Games,https://www.goodreads.com/book/show/215540.The_Quillan_Games,Pendragon #7,D.J. MacHale,"22,499",392,486,399,"May 16, 2006","May 16, 2005","Fantasy, Young Adult, Fiction, Science Fiction, Adventure, Childrens, Middle Grade, Teen, Time Travel, Young Adult Fantasy",Simon & Schuster Books for Young Readers,9781416914235,English,,1416914234,4.20
116012,Carolina Moon,https://www.goodreads.com/book/show/116012.Carolina_Moon,,Nora Roberts,"44,800","1,095",470,399,"April 1, 2001","March 6, 2000","Romance, Romantic Suspense, Mystery, Fiction, Contemporary Romance, Contemporary, Suspense, Paranormal, Chick Lit, Thriller",Jove,9780515130386,English,,0515130389,4.08
43191522,Book One: Sporadic Memories,https://www.goodreads.com/book/show/43191522-book-one,,Ali Marsman,69,21,324,399,"January 11, 2019","June 30, 2008","Fiction, Canada",FriesenPress,9781525530845,English,,1525530844,4.35
38913,Follow Your Heart,https://www.goodreads.com/book/show/38913.Follow_Your_Heart,,Susanna Tamaro,"16,756","1,367",208,399,"August 1, 1996","January 1, 1994","Fiction, Romance, Italian Literature, Novels, Italy, Contemporary, Literature, Roman, Drama, Womens",Delta,9780385316576,English,,0385316577,3.66
7121598,Bullet,https://www.goodreads.com/book/show/7121598-bullet,"Anita Blake, Vampire Hunter #19",Laurell K. Hamilton,"34,062","1,293",356,399,"June 1, 2010","June 1, 2010","Urban Fantasy, Paranormal, Vampires, Fantasy, Romance, Paranormal Romance, Fiction, Horror, Supernatural, Werewolves",Berkley,9780425234334,English,,0425234339,3.85
11312,"Over Sea, Under Stone",https://www.goodreads.com/book/show/11312.Over_Sea_Under_Stone,The Dark Is Rising #1,Susan Cooper,"51,770","2,844",196,399,"May 25, 2004","January 1, 1965","Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Adventure, Arthurian, Classics, Audiobook, Science Fiction Fantasy",Aladdin Paperbacks,9780689871214,English,,068987121X,3.85
951454,The Fade,https://www.goodreads.com/book/show/951454.The_Fade,,Chris Wooding,710,73,312,399,"October 18, 2007","January 1, 2007","Fantasy, Science Fiction, Young Adult, Fiction, Adult, Dark, Science Fiction Fantasy, Speculative Fiction, Young Adult Fantasy",Gollancz,9780575077003,English,,057507700X,3.90
10768183,Children of Paranoia,https://www.goodreads.com/book/show/10768183-children-of-paranoia,Children of Paranoia #1,Trevor Shane,694,137,384,399,"September 8, 2011","September 8, 2011","Thriller, Fiction, Dystopia, Young Adult, Science Fiction, Suspense, Adult Fiction, Romance, Mystery Thriller, Speculative Fiction",Dutton,9780525952374,English,,0525952373,3.68
13511702,The Execution,https://www.goodreads.com/book/show/13511702-the-execution,The Wintergrave Chronicles #1,Sharon Cramer,890,141,347,399,"February 14, 2012","February 14, 2012","Historical Fiction, Historical, Medieval, Romance, Fiction, Fantasy, Thriller, Amazon, Tragedy, France",B & F Publishing,,English,,,3.93
16967,1632,https://www.goodreads.com/book/show/16967.1632,Ring of Fire Main Line Novels #1,Eric Flint,"12,595",925,597,399,"January 1, 2006","February 1, 2000","Alternate History, Science Fiction, Fiction, Time Travel, Fantasy, Historical Fiction, Historical, Science Fiction Fantasy, War, Military Fiction",Baen Books,9781416532811,English,,1416532811,4.05
12157365,Unraveling,https://www.goodreads.com/book/show/12157365-unraveling,Unraveling #1,Elizabeth Norris,"18,456","1,913",464,399,"April 24, 2012","April 24, 2012","Young Adult, Science Fiction, Paranormal, Romance, Fantasy, Mystery, Dystopia, Fiction, Supernatural, Urban Fantasy",Balzer + Bray,9780062103734,English,,0062103733,3.83
8396337,Blackveil,https://www.goodreads.com/book/show/8396337-blackveil,Green Rider #4,Kristen Britain,"12,492",689,672,399,"February 1, 2011","February 1, 2011","Fantasy, Fiction, Magic, High Fantasy, Adventure, Epic Fantasy, Young Adult, Science Fiction Fantasy, Adult, Romance",Daw Books,9780756406608,English,,0756406609,4.20
17224751,That First Kiss,https://www.goodreads.com/book/show/17224751-that-first-kiss,Night Calls #2,J.C. Valentine,"1,295",224,338,399,"June 18, 2013","January 1, 2013","Romance, Contemporary, Erotica, Contemporary Romance, Adult, Erotic Romance, Amazon, Humor, Fiction",J.C. Valentine,,English,,,3.81
18517625,The Scriptlings,https://www.goodreads.com/book/show/18517625-the-scriptlings,,Sorin Suciu,124,39,372,399,"September 22, 2013","September 2, 2013","Fantasy, Fiction, Humor, Science Fiction, Urban Fantasy","AEC Stellar Publishing, Inc.",9780989312868,English,,0989312860,4.02
274942,The Family,https://www.goodreads.com/book/show/274942.The_Family,,Mario Puzo,"13,324",722,418,399,"September 3, 2002","October 2, 2001","Historical Fiction, Fiction, Historical, Italy, Crime, Classics, Thriller, Drama, Novels, American",Avon,9780061032424,English,,0061032425,3.83
20727654,The Paper Magician,https://www.goodreads.com/book/show/20727654-the-paper-magician,The Paper Magician #1,Charlie N. Holmberg,"83,392","8,462",222,399,"September 1, 2014","September 1, 2014","Fantasy, Young Adult, Fiction, Magic, Romance, Historical Fiction, Historical, Steampunk, Audiobook, Young Adult Fantasy",47North,9781477823835,English,,1477823832,3.68
25362017,The Girl with Seven Names: A North Korean Defector’s Story,https://www.goodreads.com/book/show/25362017-the-girl-with-seven-names,,Hyeonseo Lee,"85,552","7,846",304,399,"July 7, 2015","October 14, 2014","Nonfiction, Memoir, Biography, Asia, History, Biography Memoir, Autobiography, Audiobook, Politics, Book Club",William Collins,9780007554836,English,,0007554834,4.42
27305883,FREEDOM: The End of the Human Condition,https://www.goodreads.com/book/show/27305883-freedom,,Jeremy Griffith,312,100,798,399,"May 24, 2016","May 24, 2016","Philosophy, Science, Psychology, Nonfiction, Self Help, Sociology, Society, Biology",WTM Publishing and Communications,9781741290288,English,,1741290287,3.62
40789692,From Maid to Duchess,https://www.goodreads.com/book/show/40789692-from-maid-to-duchess,A Fairytale Retelling #1,Regina James,76,7,60,399,"July 11, 2018","Published July 11, 2018",Fairy Tales,,,English,,,4.11
40028529,Tales of the Astonishing Black Spark,https://www.goodreads.com/book/show/40028529-tales-of-the-astonishing-black-spark,,Charlie J. Eskew,95,30,370,399,"September 4, 2018","January 1, 2018","Fiction, Science Fiction, Contemporary, Fantasy, Superheroes, Speculative Fiction",Lanternfish Press,9781941360163,English,,1941360165,4.06
56677002,Winterhorn,https://www.goodreads.com/book/show/56677002-winterhorn,Tokens of Benevolence #1,Baiculescu Ovidiu Nicolae,40,12,373,399,"November 7, 2020","November 8, 2020","Fantasy, Fiction",,,English,,,4.35
57090527,Live for Me,https://www.goodreads.com/book/show/57090527-live-for-me,,Emma Thomas,110,8,226,399,"February 5, 2021","Published February 5, 2021","Drama, Contemporary, Novels, Fiction",Archway Publishing,,English,,,4.35
56554626,The Ex Hex,https://www.goodreads.com/book/show/56554626-the-ex-hex,The Ex Hex #1,Erin Sterling,"183,348","27,309",308,399,"September 28, 2021","September 28, 2021","Fantasy, Fiction, Paranormal, Witches, Contemporary, Audiobook, Adult, Magic, Contemporary Romance, Halloween",Avon,9780063027473,English,,006302747X,3.51
60159710,Anshuman krit Saral Vastu Gyan,https://www.goodreads.com/book/show/60159710-anshuman-krit-saral-vastu-gyan,,Anshuman Srivastav,7,2,62,399,"December 29, 2021","December 29, 2021",,,,English,,,5.00
54208009,Alone With You in the Ether,https://www.goodreads.com/book/show/54208009-alone-with-you-in-the-ether,,Olivie Blake,"60,300","12,887",248,399,"June 19, 2020","June 20, 2020","Romance, Fiction, Contemporary, Adult, Literary Fiction, Mental Health, Contemporary Romance, Fantasy, Audiobook, Adult Fiction",,,English,,,3.88
52122096,Manacled,https://www.goodreads.com/book/show/52122096-manacled,,SenLinYu,"44,225","8,652",876,399,"April 27, 2018","January 1, 2018","Fantasy, Fan Fiction, Romance, Dark, Fiction, Fantasy Romance, Magic, Dystopia, Adult, Witches",Archive of Our Own,,English,,,4.67
836606,"Fruits Basket, Vol. 2",https://www.goodreads.com/book/show/836606.Fruits_Basket_Vol_2,フルーツバスケット [Fruits Basket] #2,Natsuki Takaya,"22,222",649,194,398,"April 13, 2004","June 18, 1999","Manga, Fantasy, Romance, Graphic Novels, Young Adult, Fiction, Comics, Shojo, Comics Manga, Anime",TokyoPop,9781591826040,English,,1591826047,4.38
129678,Red Earth and Pouring Rain,https://www.goodreads.com/book/show/129678.Red_Earth_and_Pouring_Rain,,Vikram Chandra,"2,673",251,542,398,"January 1, 1995","January 1, 1995","Fiction, India, Fantasy, Magical Realism, Indian Literature, Literature, Asia, Literary Fiction, Historical Fiction, Novels",Back Bay Books,9780316132930,English,,0316132934,3.79
7695,Holy the Firm,https://www.goodreads.com/book/show/7695.Holy_the_Firm,,Annie Dillard,"4,883",531,76,398,"December 30, 1998","January 1, 1977","Nonfiction, Essays, Memoir, Spirituality, Philosophy, Religion, Nature, Poetry, Theology, Literature",Harper Perennial,9780060915438,English,,0060915439,4.20
49746,Whale Talk,https://www.goodreads.com/book/show/49746.Whale_Talk,,Chris Crutcher,"11,141","1,237",224,398,"December 10, 2002","April 10, 2001","Young Adult, Sports, Fiction, Realistic Fiction, Teen, Contemporary, Banned Books, School, Coming Of Age, High School",Laurel Leaf,9780440229384,English,,0440229383,3.97
6393,Life on the Other Side: A Psychic's Tour of the Afterlife,https://www.goodreads.com/book/show/6393.Life_on_the_Other_Side,,Sylvia Browne,"2,627",175,272,398,"April 1, 2002","January 1, 1999","Spirituality, Nonfiction, Paranormal, Religion, Metaphysics, New Age, Inspirational, Self Help, Reference, Audiobook",Berkley,9780451206473,English,,0451206479,4.04
395851,The Struggle,https://www.goodreads.com/book/show/395851.The_Struggle,The Vampire Diaries #2,L.J. Smith,"41,452","1,794",278,398,"March 1, 1999","January 1, 1991","Young Adult, Fantasy, Vampires, Romance, Paranormal, Fiction, Supernatural, Paranormal Romance, Urban Fantasy, Horror",HarperCollins Publishers,9780061020018,English,,006102001X,3.44
9972090,Secrets of Jewish Wealth Revealed!,https://www.goodreads.com/book/show/9972090-secrets-of-jewish-wealth-revealed,,Celso Cukierkorn,243,29,Paperback,398,"January 1, 2010","January 1, 2010","Money, Finance, Jewish, Nonfiction",Adat Achim Synagogue,9780982816301,English,,0982816308,4.15
18798,The Guermantes Way,https://www.goodreads.com/book/show/18798.The_Guermantes_Way,À la recherche du temps perdu #3,Marcel Proust,"9,810",914,619,398,"May 31, 2005","August 1, 1920","Classics, Fiction, France, French Literature, Literature, Novels, 20th Century, Literary Fiction, Philosophy, Roman",Penguin Classics,9780143039228,English,,0143039229,4.28
9992246,Eating Smoke: One Man's Descent Into Crystal Meth Psychosis in Hong Kong's Triad Heartland,https://www.goodreads.com/book/show/9992246-eating-smoke,Eating Smoke #1,Chris Thrall,734,54,420,398,"September 16, 2011","September 15, 2011","Nonfiction, Memoir, Crime, True Crime, China, Travel, Biography, Graphic Novels, Mental Illness, Asia",Blacksmith Books,9789881900296,English,,9881900298,3.61
