id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
59221559,The Shadow Sect,https://www.goodreads.com/book/show/59221559-the-shadow-sect,Netherdei #1,Peter Hackshaw,"1,173",81,582,"1,537","October 5, 2021","September 28, 2021","Fantasy, Science Fiction Fantasy, Audiobook, Young Adult",Portal Books,,English,,,4.13
91476,Grave Peril,https://www.goodreads.com/book/show/91476.Grave_Peril,The Dresden Files #3,Jim Butcher,"162,128","6,874",378,"1,536","September 1, 2001","September 1, 2001","Fantasy, Urban Fantasy, Mystery, Fiction, Paranormal, Magic, Audiobook, Vampires, Supernatural, Science Fiction Fantasy",ROC,9780451458445,English,,0451458443,4.14
11648261,The Sugar Queen,https://www.goodreads.com/book/show/11648261-the-sugar-queen,,Sarah Addison Allen,"54,361","6,075",290,"1,536","May 21, 2008","May 20, 2008","Fiction, Magical Realism, Romance, Fantasy, Chick Lit, Contemporary, Magic, Adult, Adult Fiction, Southern",Bantam,,English,,,3.98
76713323,Empire of Storms,https://www.goodreads.com/book/show/76713323-empire-of-storms,Throne of Glass #5,Sarah J. Maas,"505,769","41,127",689,"1,536","February 14, 2023","September 6, 2016","Fantasy, Young Adult, Romance, New Adult, Fae, Magic, Fiction, Young Adult Fantasy, High Fantasy, Fantasy Romance",Bloomsbury Publishing PLC,9781639731022,English,,1639731024,4.60
10176,Dress Your Family in Corduroy and Denim,https://www.goodreads.com/book/show/10176.Dress_Your_Family_in_Corduroy_and_Denim,,David Sedaris,"274,876","7,284",257,"1,535","January 1, 2004","June 1, 2004","Humor, Nonfiction, Memoir, Essays, Short Stories, Comedy, Audiobook, Biography, Biography Memoir, Autobiography","Little, Brown & Co.",9780965904834,English,,0965904830,4.11
8811139,Light,https://www.goodreads.com/book/show/8811139-light,Gone #6,Michael Grant,"39,076","2,994",411,"1,535","April 2, 2013","April 2, 2013","Young Adult, Dystopia, Science Fiction, Fantasy, Fiction, Horror, Paranormal, Romance, Supernatural, Adventure",Katherine Tegen Books,9780061449185,English,,0061449180,4.36
17934530,Annihilation,https://www.goodreads.com/book/show/17934530-annihilation,Southern Reach #1,Jeff VanderMeer,"219,888","24,221",195,"1,535","February 4, 2014","February 4, 2014","Science Fiction, Fiction, Horror, Fantasy, Mystery, Dystopia, Audiobook, Science Fiction Fantasy, Adult, Thriller","Farrar, Straus and Giroux",9780374104092,English,"Nebula Award for Best Novel (2014), Locus Award Nominee for Best Science Fiction Novel (2015), Warwick Prize for Writing Nominee for Longlist (2015), Shirley Jackson Award for Novel (2014), Tähtivaeltaja Award Nominee (2016), Goodreads Choice Award Nominee for Science Fiction (2014), RUSA CODES Reading List Nominee for Science Fiction (2015)",0374104093,3.76
193543491,Earth of Another Kind,https://www.goodreads.com/book/show/193543491-earth-of-another-kind,Another Kind #2,Steven Decker,716,14,306,"1,535","September 1, 2023","Published September 1, 2023",,TIER Books LLC,,English,,,4.36
30260,A Fistful of Charms,https://www.goodreads.com/book/show/30260.A_Fistful_of_Charms,The Hollows #4,Kim Harrison,"57,411","1,494",510,"1,534","June 27, 2006","June 27, 2006","Urban Fantasy, Fantasy, Paranormal, Vampires, Witches, Magic, Fiction, Romance, Demons, Supernatural",HarperTorch,9780060788193,English,,0060788194,4.27
10605,Thinner,https://www.goodreads.com/book/show/10605.Thinner,,Richard Bachman,"205,372","3,802",320,"1,533","September 1, 1996","January 1, 1984","Horror, Fiction, Thriller, Fantasy, Supernatural, Paranormal, Suspense, Mystery, Audiobook, Adult",Signet,9780451190758,English,,0451190750,3.76
58055205,The Cheat Code,https://www.goodreads.com/book/show/58055205-the-cheat-code,Wisdom Revolution,Misba,"1,703",497,320,"1,532","April 19, 2023","Published April 19, 2023","Fantasy, Post Apocalyptic, Science Fiction Fantasy, Science Fiction, Adventure, Dark, Thriller, Adult, Utopia, Classics",Nomad's Forge,,English,,,4.67
95602,Mark of the Lion Trilogy,https://www.goodreads.com/book/show/95602.Mark_of_the_Lion_Trilogy,Mark of the Lion #1-3,Francine Rivers,"12,960",874,1468,"1,531","September 1, 1998","January 1, 1993","Christian Fiction, Christian, Historical Fiction, Fiction, Romance, Historical, Christianity, Biblical Fiction, Christian Historical Fiction, Faith",Tyndale House,9780842339520,English,,0842339523,4.78
12401556,The Age of Miracles,https://www.goodreads.com/book/show/12401556-the-age-of-miracles,,Karen Thompson Walker,"91,690","12,467",294,"1,531","June 26, 2012","June 21, 2012","Fiction, Young Adult, Science Fiction, Dystopia, Coming Of Age, Fantasy, Post Apocalyptic, Audiobook, Adult Fiction, Adult",Random House,9780812983609,English,,0812983602,3.66
55927483,Problems at the Pub,https://www.goodreads.com/book/show/55927483-problems-at-the-pub,Sugar Mountain #4,Kirsten Fullmer,"5,351",34,270,"1,531","November 14, 2020","November 14, 2020","Fiction, Drama, Novels, Contemporary, Mystery, Cozy Mystery",,,English,,,4.34
