id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
49385532,Perfect,https://www.goodreads.com/book/show/49385532-perfect,Perfect #1,Tricia Copeland,321,47,280,865,"February 6, 2020","Published February 6, 2020","Contemporary, Fiction, Romance, Drama, Novels","True Bird Publishing, LLC",,English,,,4.35
5191,The Pilot's Wife,https://www.goodreads.com/book/show/5191.The_Pilot_s_Wife,Fortune's Rocks #3,Anita Shreve,"97,361","4,893",304,864,"March 30, 1999","January 1, 1998","Fiction, Chick Lit, Mystery, Contemporary, Romance, Adult Fiction, Adult, Book Club, Novels, Drama",Back Bay Books,9780316601955,English,,0316601950,3.56
184655,Transfer of Power,https://www.goodreads.com/book/show/184655.Transfer_of_Power,Mitch Rapp #3,Vince Flynn,"53,993","2,356",549,864,"October 1, 2005","July 1, 1999","Fiction, Thriller, Action, Espionage, Mystery, Suspense, Mystery Thriller, Spy Thriller, Audiobook, Adventure",Pocket Books,9781416516354,English,,1416516352,4.33
60743456,The Oldest Dance,https://www.goodreads.com/book/show/60743456-the-oldest-dance,Wisdom Revolution #2,Misba,"6,390",934,258,864,"September 1, 2021","September 19, 2021","Fantasy, Post Apocalyptic, Science Fiction Fantasy, Science Fiction, Adventure, Dark, Thriller, Adult, Utopia, Classics",Nomad's Forge,9789843508225,English,,984350822X,4.56
14250,Pigs in Heaven,https://www.goodreads.com/book/show/14250.Pigs_in_Heaven,Greer Family #2,Barbara Kingsolver,"61,743","2,548",343,863,"January 1, 1994","January 1, 1993","Fiction, Contemporary, Literary Fiction, Adult Fiction, Novels, Adult, Literature, Realistic Fiction, Audiobook, American",Faber and Faber,9780571171781,English,,0571171788,3.99
8965,The Vampire's Assistant,https://www.goodreads.com/book/show/8965.The_Vampire_s_Assistant,The Saga of Darren Shan #2,Darren Shan,"43,536","1,733",256,863,,"May 30, 2000","Fantasy, Young Adult, Horror, Vampires, Fiction, Paranormal, Supernatural",,,,,,4.13
498835,Sepulchre,https://www.goodreads.com/book/show/498835.Sepulchre,Languedoc #2,Kate Mosse,"20,954","1,554",550,863,"October 31, 2007","October 31, 2007","Historical Fiction, Fiction, Fantasy, Mystery, Historical, Thriller, France, Romance, Audiobook, Supernatural",Orion,9780752860558,English,,0752860550,3.79
18874565,Alien Species Intervention,https://www.goodreads.com/book/show/18874565-alien-species-intervention,Species Intervention #6609 #1 - 3,J.K. Accinni,"1,101",199,518,863,"November 19, 2013","November 19, 2013","Science Fiction, Horror, Paranormal, Aliens, Dystopia, Fantasy, Dark, Thriller, Young Adult, Wildlife",E K Publishing,,English,,,3.84
157409,Dream Story,https://www.goodreads.com/book/show/157409.Dream_Story,,Arthur Schnitzler,"15,825","1,156",117,863,"July 1, 1999","January 1, 1926","Fiction, Classics, German Literature, Literature, Novella, Novels, 20th Century, Short Stories, Romance, Literary Fiction",Penguin Classics,9780141182247,English,,0141182245,3.76
10737650,The Marbled Swarm,https://www.goodreads.com/book/show/10737650-the-marbled-swarm,,Dennis Cooper,"1,185",163,208,863,"November 1, 2011","November 1, 2011","Fiction, Horror, Queer, Contemporary, Thriller, LGBT, Dark, Mystery, Novels, Literature",Harper Perennial,9780061715631,English,,0061715638,3.45
